name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
柳州市,3758704,348427,0.9686218347028216,柳州市,广西壮族自治区,三线及以下,109.37165,24.94606866,华南
桂林市,4747963,414508,0.9719764154129716,桂林市,广西壮族自治区,三线及以下,110.5131182,25.3526455,华南
梧州市,2882200,147356,0.9740560275794674,梧州市,广西壮族自治区,三线及以下,110.9905607,23.48018285,华南
河池市,3369251,144144,0.9699883449883449,河池市,广西壮族自治区,三线及以下,107.8399032,24.64243899,华南
玉林市,5487368,261661,0.9749867194576188,玉林市,广西壮族自治区,三线及以下,110.1806563,22.44077158,华南
百色市,3466758,167270,0.9693489567764692,百色市,广西壮族自治区,三线及以下,106.2869708,23.98603926,华南
贵港市,4118808,167810,0.9742268041237112,贵港市,广西壮族自治区,三线及以下,109.9967655,23.307615,华南
贺州市,1954072,98061,0.9744444784368912,贺州市,广西壮族自治区,三线及以下,111.3619347,24.35988459,华南
钦州市,3079721,146932,0.973797402880244,钦州市,广西壮族自治区,三线及以下,109.0144042,22.17413012,华南
防城港市,866927,80496,0.9672406082289804,防城港市,广西壮族自治区,三线及以下,108.0101667,21.87255978,华南
乌鲁木齐市,3112559,294885,0.8749173406582227,乌鲁木齐市,新疆维吾尔族自治区,三线及以下,87.77782078,43.7275786,西北
五家渠市,96436,0,0.0,五家渠市,新疆维吾尔族自治区,三线及以下,87.55596805,44.36113376,西北
克拉玛依市,391008,35906,0.8617779758257673,克拉玛依市,新疆维吾尔族自治区,三线及以下,85.16374465,45.441068,西北
吐鲁番市,622903,15665,0.8764762208745611,吐鲁番市,新疆维吾尔族自治区,三线及以下,89.83314598,42.38762156,西北
哈密市,572400,33255,0.8860021049466246,哈密市,新疆维吾尔族自治区,三线及以下,93.5214598,43.02093808,西北
图木舒克市,135727,0,0.0,图木舒克市,新疆维吾尔族自治区,三线及以下,79.18845937,39.88244904,西北
石河子市,380130,0,0.0,石河子市,新疆维吾尔族自治区,三线及以下,86.03266111,44.30080486,西北
阿拉尔市,158593,0,0.0,阿拉尔市,新疆维吾尔族自治区,三线及以下,81.280298,40.60883744,西北
南京市,8003744,1694185,0.9598231598084036,南京市,江苏省,二线,118.8431577,31.9256626,华东
南通市,7283622,706499,0.968895922004136,南通市,江苏省,三线及以下,121.0097232,32.19949259,华东
宿迁市,4719178,266502,0.96909591672858,宿迁市,江苏省,三线及以下,118.5185473,33.78408031,华东
常州市,4592431,680085,0.9693597123888924,常州市,江苏省,三线及以下,119.6275959,31.62737265,华东
徐州市,8577225,649596,0.9703723545095722,徐州市,江苏省,三线及以下,117.5155952,34.35792623,华东
扬州市,4460066,453370,0.9691488188455344,扬州市,江苏省,三线及以下,119.4729443,32.73703251,华东
无锡市,6374399,1015138,0.966996605387642,无锡市,江苏省,三线及以下,120.0729401,31.54704863,华东
泰州市,4618937,346725,0.9717037998413728,泰州市,江苏省,三线及以下,120.0533921,32.57920895,华东
淮安市,4801662,349223,0.971511040223582,淮安市,江苏省,三线及以下,118.9612927,33.35368296,华东
盐城市,7262200,489364,0.9723028257084706,盐城市,江苏省,三线及以下,120.162446,33.52457195,华东
苏州市,10459890,2164041,0.9691498451277032,苏州市,江苏省,二线,120.7430227,31.41391547,华东
连云港市,4393482,320186,0.9736934157021232,连云港市,江苏省,三线及以下,119.1324195,34.52981627,华东
镇江市,3114105,409419,0.9676541635830286,镇江市,江苏省,三线及以下,119.4531811,32.0160262,华东
上饶市,6579747,426033,0.978975807038422,上饶市,江西省,三线及以下,117.4714047,28.77365841,华中
九江市,4728778,435093,0.9787080003585441,九江市,江西省,三线及以下,115.4370636,29.32514679,华中
